timestamp,bar_open,bar_high,bar_low,bar_close,volume,trade_count,vwap,price_change,volume_change,high_low_spread,open_close_spread,ma5,ma20,volatility
2024-12-02 09:00:00+00:00,349,352.88,348.81,351.1,358232,14122,350.65886,,,4.07,2.1,,,
2024-12-02 10:00:00+00:00,351.11,351.5,350.58,350.62,140049,5175,351.031931,-0.001367132,-0.609055026,0.92,-0.49,,,
2024-12-02 11:00:00+00:00,350.68,350.75,349.4,349.69,159023,6265,350.057726,-0.002652444,0.135481153,1.35,-0.99,,,
2024-12-02 12:00:00+00:00,349.86,352.8,348.6,352.1,687567,16668,351.27291,0.006891818,3.323695315,4.2,2.24,,,
2024-12-02 13:00:00+00:00,349.4,353.16,348,352.55,1281038,29026,351.764343,0.001278046,0.863146428,5.16,3.15,351.212,,
2024-12-02 14:00:00+00:00,352.6,358.78,351.48,354.7442,14785453,228817,355.632348,0.006223798,10.5417755,7.3,2.1442,351.94084,,0.004337234
2024-12-02 15:00:00+00:00,354.89,357.38,352.2701,354.2,13955290,202623,354.738694,-0.001534063,-0.056147282,5.1099,-0.69,352.65684,,0.004370865
2024-12-02 16:00:00+00:00,354.1991,355.18,351.1501,354.92,8689529,123133,353.385037,0.00203275,-0.377330819,4.0299,0.7209,353.70284,,0.003535365
2024-12-02 17:00:00+00:00,354.95,359.44,354.74,358.29,9577097,133774,357.205588,0.009495097,0.102142245,4.7,3.34,354.94084,,0.004352929
2024-12-02 18:00:00+00:00,358.4,358.7594,355.35,357,6320042,92328,356.77948,-0.003600435,-0.34008792,3.4094,-1.4,355.83084,,0.005396819
2024-12-02 19:00:00+00:00,357.01,357.72,355.62,357.5332,4230971,64349,356.535063,0.001493557,-0.330547012,2.1,0.5232,356.38864,,0.004984864
2024-12-02 20:00:00+00:00,357.54,360,356.2,357.0897,9863893,143329,358.128179,-0.001240444,1.331354434,3.8,-0.4503,356.96658,,0.004940579
2024-12-02 21:00:00+00:00,357.09,357.34,349.54,349.63,6234551,24929,356.263709,-0.020890269,-0.36794215,7.8,-7.46,355.90858,,0.011178378
2024-12-02 22:00:00+00:00,349.93,352.93,349.25,352.93,1085209,20026,351.308781,0.009438549,-0.825936302,3.68,3,354.83658,,0.011162659
2024-12-02 23:00:00+00:00,352.93,353.7,352.01,352.8,372659,7243,353.003802,-0.000368345,-0.656601632,1.69,-0.13,353.99658,,0.01120977
2024-12-03 00:00:00+00:00,352.8,353.62,352.61,352.71,237774,5175,352.970143,-0.000255102,-0.361952885,1.01,-0.09,353.03194,,0.01108792
2024-12-03 09:00:00+00:00,353.02,353.25,350.62,352.54,228715,9284,352.1667,-0.000481982,-0.038099203,2.63,-0.48,352.122,,0.011117399
2024-12-03 10:00:00+00:00,352.49,352.76,351.85,352,118677,4125,352.38543,-0.001531741,-0.48111405,0.91,-0.49,352.596,,0.004544605
2024-12-03 11:00:00+00:00,352.01,353,351.8,352.98,120804,3828,352.334964,0.002784091,0.017922597,1.2,0.97,352.606,,0.001622201
2024-12-03 12:00:00+00:00,352.97,354.85,352.79,354.07,339865,8889,353.96639,0.003087994,1.813358829,2.06,1.1,352.86,353.474855,0.002081693
2024-12-03 13:00:00+00:00,354,357.09,351.1,351.25,876081,21207,353.304881,-0.007964527,1.577732335,5.99,-2.75,352.568,353.482355,0.004470094
2024-12-03 14:00:00+00:00,351.29,357.09,349.5,352.3446,10408111,167091,352.856223,0.003116299,10.88030673,7.59,1.0546,352.52892,353.568585,0.00481473
2024-12-03 15:00:00+00:00,352.419,354.6,348.2,349.72,12116534,180886,351.381356,-0.007448958,0.164143426,6.4,-2.699,352.07292,353.570085,0.005866482
2024-12-03 16:00:00+00:00,349.62,352.67,349.5801,350.8605,7056397,94281,351.499894,0.00326118,-0.417622482,3.0899,1.2405,351.64902,353.50811,0.005952462
2024-12-03 17:00:00+00:00,350.9099,351.5665,348.77,350.2676,5657000,87108,349.879586,-0.001689845,-0.198316081,2.7965,-0.6423,350.88854,353.39399,0.00545697
2024-12-03 18:00:00+00:00,350.24,351.13,348.4,349.74,5125482,74610,349.625282,-0.001506277,-0.093957575,2.73,-0.5,350.58654,353.14378,0.004396463
2024-12-03 19:00:00+00:00,349.7003,350.25,348.578,349.85,3962506,63690,349.367376,0.000314519,-0.226900807,1.672,0.1497,350.08762,352.92628,0.003916325
2024-12-03 20:00:00+00:00,349.85,351.61,348.22,351.38,6729331,100727,349.660083,0.004373303,0.698251309,3.39,1.53,350.41962,352.74928,0.002759822
